productUid,title,collectionHandle,catalogUid,attributesJson
acrylic_12x12-inch-300x300-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x12-inch-300x300-mm""}"
acrylic_12x12-inch-300x300-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x12-inch-300x300-mm""}"
acrylic_12x16-inch-300x400-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x16-inch-300x400-mm""}"
acrylic_12x16-inch-300x400-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x16-inch-300x400-mm""}"
acrylic_12x18-inch-300x450-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x18-inch-300x450-mm""}"
acrylic_12x18-inch-300x450-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x18-inch-300x450-mm""}"
acrylic_12x36-inch-300x900-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x36-inch-300x900-mm""}"
acrylic_12x36-inch-300x900-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""12x36-inch-300x900-mm""}"
acrylic_16x16-inch-400x400-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x16-inch-400x400-mm""}"
acrylic_16x16-inch-400x400-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x16-inch-400x400-mm""}"
acrylic_16x20-inch-400x500-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x20-inch-400x500-mm""}"
acrylic_16x20-inch-400x500-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x20-inch-400x500-mm""}"
acrylic_16x24-inch-400x600-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x24-inch-400x600-mm""}"
acrylic_16x24-inch-400x600-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""16x24-inch-400x600-mm""}"
acrylic_18x24-inch-450x600-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""18x24-inch-450x600-mm""}"
acrylic_18x24-inch-450x600-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""18x24-inch-450x600-mm""}"
