Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x12-inch-300x300-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x12-inch-300x300-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x12-inch-300x300-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x12-inch-300x300-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x16-inch-300x400-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x16-inch-300x400-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x16-inch-300x400-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x16-inch-300x400-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x18-inch-300x450-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x18-inch-300x450-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x18-inch-300x450-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x18-inch-300x450-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x36-inch-300x900-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x36-inch-300x900-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x36-inch-300x900-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x36-inch-300x900-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x16-inch-400x400-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x16-inch-400x400-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x16-inch-400x400-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x16-inch-400x400-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x20-inch-400x500-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x20-inch-400x500-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x20-inch-400x500-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x20-inch-400x500-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x24-inch-400x600-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x24-inch-400x600-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x24-inch-400x600-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_16x24-inch-400x600-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_18x24-inch-450x600-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_18x24-inch-450x600-mm_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_18x24-inch-450x600-mm_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_18x24-inch-450x600-mm_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_200x200-mm-8x8-inch_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_200x200-mm-8x8-inch_3-mm-silver-brushed_hor-grain_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — hor,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_200x200-mm-8x8-inch_3-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Metal / aluminium prints — ver,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_200x200-mm-8x8-inch_3-mm_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
