productUid,title,collectionHandle,catalogUid,attributesJson
metallic_12x12-inch-300x300-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x12-inch-300x300-mm""}"
metallic_12x12-inch-300x300-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x12-inch-300x300-mm""}"
metallic_12x12-inch-300x300-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x12-inch-300x300-mm""}"
metallic_12x12-inch-300x300-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x12-inch-300x300-mm""}"
metallic_12x16-inch-300x400-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x16-inch-300x400-mm""}"
metallic_12x16-inch-300x400-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x16-inch-300x400-mm""}"
metallic_12x16-inch-300x400-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x16-inch-300x400-mm""}"
metallic_12x16-inch-300x400-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x16-inch-300x400-mm""}"
metallic_12x18-inch-300x450-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x18-inch-300x450-mm""}"
metallic_12x18-inch-300x450-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""12x18-inch-300x450-mm""}"
