Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
Canvas prints — 11x14-inch-270x350-mm — hor,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 11x14-inch-270x350-mm — ver,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x12-inch-300x300-mm — hor,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x12-inch-300x300-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x12-inch-300x300-mm — ver,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x12-inch-300x300-mm_canvas_wood-fsc-slim_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x16-inch-300x400-mm — hor,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x16-inch-300x400-mm — ver,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x18-inch-300x450-mm — hor,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x18-inch-300x450-mm — ver,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x24-inch-300x600-mm — hor,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x24-inch-300x600-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Canvas prints — 12x24-inch-300x600-mm — ver,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_12x24-inch-300x600-mm_canvas_wood-fsc-slim_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
