productUid,title,collectionHandle,catalogUid,attributesJson
canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 11x14-inch-270x350-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""11x14-inch-270x350-mm""}"
canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 11x14-inch-270x350-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""11x14-inch-270x350-mm""}"
canvas_12x12-inch-300x300-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 12x12-inch-300x300-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x12-inch-300x300-mm""}"
canvas_12x12-inch-300x300-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 12x12-inch-300x300-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x12-inch-300x300-mm""}"
canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 12x16-inch-300x400-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x16-inch-300x400-mm""}"
canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 12x16-inch-300x400-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x16-inch-300x400-mm""}"
canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 12x18-inch-300x450-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x18-inch-300x450-mm""}"
canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 12x18-inch-300x450-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x18-inch-300x450-mm""}"
canvas_12x24-inch-300x600-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 12x24-inch-300x600-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x24-inch-300x600-mm""}"
canvas_12x24-inch-300x600-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 12x24-inch-300x600-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""12x24-inch-300x600-mm""}"
