Variant Name,Size,Orientation,Thickness,Product UID,Unified Format,Thickness UID,Shopify Option 1,Shopify Option 1 Value,Shopify Option 2,Shopify Option 2 Value,Shopify Option 3,Shopify Option 3 Value
8x10 in - Landscape - Slim,8x10 in,Landscape,Slim,canvas_8x10-inch-200x250-mm_canvas_wood-fsc-slim_4-0_hor,8x10-inch-200x250-mm,wood-fsc-slim,Size,8x10 in,Orientation,Landscape,Thickness,Slim
8x10 in - Landscape - Thick,8x10 in,Landscape,Thick,canvas_8x10-inch-200x250-mm_canvas_wood-fsc-thick_4-0_hor,8x10-inch-200x250-mm,wood-fsc-thick,Size,8x10 in,Orientation,Landscape,Thickness,Thick
8x10 in - Portrait - Slim,8x10 in,Portrait,Slim,canvas_8x10-inch-200x250-mm_canvas_wood-fsc-slim_4-0_ver,8x10-inch-200x250-mm,wood-fsc-slim,Size,8x10 in,Orientation,Portrait,Thickness,Slim
8x10 in - Portrait - Thick,8x10 in,Portrait,Thick,canvas_8x10-inch-200x250-mm_canvas_wood-fsc-thick_4-0_ver,8x10-inch-200x250-mm,wood-fsc-thick,Size,8x10 in,Orientation,Portrait,Thickness,Thick
8x12 in - Landscape - Slim,8x12 in,Landscape,Slim,canvas_8x12-inch-200x300-mm_canvas_wood-fsc-slim_4-0_hor,8x12-inch-200x300-mm,wood-fsc-slim,Size,8x12 in,Orientation,Landscape,Thickness,Slim
8x12 in - Landscape - Thick,8x12 in,Landscape,Thick,canvas_8x12-inch-200x300-mm_canvas_wood-fsc-thick_4-0_hor,8x12-inch-200x300-mm,wood-fsc-thick,Size,8x12 in,Orientation,Landscape,Thickness,Thick
8x12 in - Portrait - Slim,8x12 in,Portrait,Slim,canvas_8x12-inch-200x300-mm_canvas_wood-fsc-slim_4-0_ver,8x12-inch-200x300-mm,wood-fsc-slim,Size,8x12 in,Orientation,Portrait,Thickness,Slim
8x12 in - Portrait - Thick,8x12 in,Portrait,Thick,canvas_8x12-inch-200x300-mm_canvas_wood-fsc-thick_4-0_ver,8x12-inch-200x300-mm,wood-fsc-thick,Size,8x12 in,Orientation,Portrait,Thickness,Thick
12x12 in - Landscape - Slim,12x12 in,Landscape,Slim,canvas_12x12-inch-300x300-mm_canvas_wood-fsc-slim_4-0_hor,12x12-inch-300x300-mm,wood-fsc-slim,Size,12x12 in,Orientation,Landscape,Thickness,Slim
12x12 in - Landscape - Thick,12x12 in,Landscape,Thick,canvas_12x12-inch-300x300-mm_canvas_wood-fsc-thick_4-0_hor,12x12-inch-300x300-mm,wood-fsc-thick,Size,12x12 in,Orientation,Landscape,Thickness,Thick
11x14 in - Landscape - Slim,11x14 in,Landscape,Slim,canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_hor,11x14-inch-270x350-mm,wood-fsc-slim,Size,11x14 in,Orientation,Landscape,Thickness,Slim
11x14 in - Landscape - Thick,11x14 in,Landscape,Thick,canvas_11x14-inch-270x350-mm_canvas_wood-fsc-thick_4-0_hor,11x14-inch-270x350-mm,wood-fsc-thick,Size,11x14 in,Orientation,Landscape,Thickness,Thick
11x14 in - Portrait - Slim,11x14 in,Portrait,Slim,canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_ver,11x14-inch-270x350-mm,wood-fsc-slim,Size,11x14 in,Orientation,Portrait,Thickness,Slim
11x14 in - Portrait - Thick,11x14 in,Portrait,Thick,canvas_11x14-inch-270x350-mm_canvas_wood-fsc-thick_4-0_ver,11x14-inch-270x350-mm,wood-fsc-thick,Size,11x14 in,Orientation,Portrait,Thickness,Thick
12x16 in - Landscape - Slim,12x16 in,Landscape,Slim,canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_hor,12x16-inch-300x400-mm,wood-fsc-slim,Size,12x16 in,Orientation,Landscape,Thickness,Slim
12x16 in - Landscape - Thick,12x16 in,Landscape,Thick,canvas_12x16-inch-300x400-mm_canvas_wood-fsc-thick_4-0_hor,12x16-inch-300x400-mm,wood-fsc-thick,Size,12x16 in,Orientation,Landscape,Thickness,Thick
12x16 in - Portrait - Slim,12x16 in,Portrait,Slim,canvas_12x16-inch-300x400-mm_canvas_wood-fsc-slim_4-0_ver,12x16-inch-300x400-mm,wood-fsc-slim,Size,12x16 in,Orientation,Portrait,Thickness,Slim
12x16 in - Portrait - Thick,12x16 in,Portrait,Thick,canvas_12x16-inch-300x400-mm_canvas_wood-fsc-thick_4-0_ver,12x16-inch-300x400-mm,wood-fsc-thick,Size,12x16 in,Orientation,Portrait,Thickness,Thick
12x18 in - Landscape - Slim,12x18 in,Landscape,Slim,canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_hor,12x18-inch-300x450-mm,wood-fsc-slim,Size,12x18 in,Orientation,Landscape,Thickness,Slim
12x18 in - Landscape - Thick,12x18 in,Landscape,Thick,canvas_12x18-inch-300x450-mm_canvas_wood-fsc-thick_4-0_hor,12x18-inch-300x450-mm,wood-fsc-thick,Size,12x18 in,Orientation,Landscape,Thickness,Thick
12x18 in - Portrait - Slim,12x18 in,Portrait,Slim,canvas_12x18-inch-300x450-mm_canvas_wood-fsc-slim_4-0_ver,12x18-inch-300x450-mm,wood-fsc-slim,Size,12x18 in,Orientation,Portrait,Thickness,Slim
12x18 in - Portrait - Thick,12x18 in,Portrait,Thick,canvas_12x18-inch-300x450-mm_canvas_wood-fsc-thick_4-0_ver,12x18-inch-300x450-mm,wood-fsc-thick,Size,12x18 in,Orientation,Portrait,Thickness,Thick
16x16 in - Landscape - Slim,16x16 in,Landscape,Slim,canvas_16x16-inch-400x400-mm_canvas_wood-fsc-slim_4-0_hor,16x16-inch-400x400-mm,wood-fsc-slim,Size,16x16 in,Orientation,Landscape,Thickness,Slim
16x16 in - Landscape - Thick,16x16 in,Landscape,Thick,canvas_16x16-inch-400x400-mm_canvas_wood-fsc-thick_4-0_hor,16x16-inch-400x400-mm,wood-fsc-thick,Size,16x16 in,Orientation,Landscape,Thickness,Thick
