productUid,title,collectionHandle,catalogUid,attributesJson
framed_canvas_geo_simplified_200x250-mm-8x10-inch_black_252x302-mm-10x12-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x250-mm-8x10-inch_black_252x302-mm-10x12-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x250-mm-8x10-inch_dark-wood_252x302-mm-10x12-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x250-mm-8x10-inch_dark-wood_252x302-mm-10x12-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x250-mm-8x10-inch_natural-wood_252x302-mm-10x12-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x250-mm-8x10-inch_natural-wood_252x302-mm-10x12-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x250-mm-8x10-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch"",""UnifiedFrameSize"":""252x302-mm-10x12-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_black_252x352-mm-10x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_black_252x352-mm-10x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_dark-wood_252x352-mm-10x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_dark-wood_252x352-mm-10x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_natural-wood_252x352-mm-10x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
