Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — hor,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Framed prints — 1000x1000-mm — ver,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
