productUid,title,collectionHandle,catalogUid,attributesJson
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_hor,Framed prints — 1000x1000-mm — hor,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""hor"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-coated-silk"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_ver,Framed prints — 1000x1000-mm — ver,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""ver"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-coated-silk"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_hor,Framed prints — 1000x1000-mm — hor,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""hor"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-uncoated"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_ver,Framed prints — 1000x1000-mm — ver,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""ver"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-uncoated"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_hor,Framed prints — 1000x1000-mm — hor,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""hor"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""250-gsm-uncoated-offwhite-archival"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_250-gsm-uncoated-offwhite-archival_cl_4-0_ct_none_prt_none_ver,Framed prints — 1000x1000-mm — ver,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""aluminum"",""FrameProperties"":""w10xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""ver"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""250-gsm-uncoated-offwhite-archival"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_hor,Framed prints — 1000x1000-mm — hor,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w12xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""hor"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-coated-silk"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_ver,Framed prints — 1000x1000-mm — ver,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w12xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""ver"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-coated-silk"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_hor,Framed prints — 1000x1000-mm — hor,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w12xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""hor"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-uncoated"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_wood_frp_w12xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-uncoated_cl_4-0_ct_none_prt_none_ver,Framed prints — 1000x1000-mm — ver,framed-prints,framed-posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w12xt22-mm"",""FrameSize"":""1000x1000-mm"",""GlassType"":""plexiglass"",""Orientation"":""ver"",""PaperFormat"":""1000x1000-mm"",""PaperType"":""200-gsm-uncoated"",""ProductStatus"":""deactivated"",""ProtectionType"":""none"",""State"":""published""}"
