Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
Posters — 140x180-mm — hor,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_100-lb-cover-coated-silk_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — ver,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_100-lb-cover-coated-silk_cl_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — hor,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_100-lb-cover-uncoated_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — ver,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_100-lb-cover-uncoated_cl_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — hor,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_130-lb-cover-coated-silk_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — ver,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_130-lb-cover-coated-silk_cl_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — hor,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_130-lb-cover-uncoated_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 140x180-mm — ver,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_130-lb-cover-uncoated_cl_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 210x279-mm — hor,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_210x279-mm_pt_100-lb-cover-coated-silk_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters — 210x279-mm — ver,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_210x279-mm_pt_100-lb-cover-coated-silk_cl_4-0_ver,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
