productUid,title,collectionHandle,catalogUid,attributesJson
cards_pf_140x180-mm_pt_100-lb-cover-coated-silk_cl_4-0_hor,Posters — 140x180-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""140x180-mm"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_100-lb-cover-coated-silk_cl_4-0_ver,Posters — 140x180-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""140x180-mm"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_100-lb-cover-uncoated_cl_4-0_hor,Posters — 140x180-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""140x180-mm"",""PaperType"":""100-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_100-lb-cover-uncoated_cl_4-0_ver,Posters — 140x180-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""140x180-mm"",""PaperType"":""100-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_130-lb-cover-coated-silk_cl_4-0_hor,Posters — 140x180-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""140x180-mm"",""PaperType"":""130-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_130-lb-cover-coated-silk_cl_4-0_ver,Posters — 140x180-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""140x180-mm"",""PaperType"":""130-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_130-lb-cover-uncoated_cl_4-0_hor,Posters — 140x180-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""140x180-mm"",""PaperType"":""130-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_140x180-mm_pt_130-lb-cover-uncoated_cl_4-0_ver,Posters — 140x180-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""140x180-mm"",""PaperType"":""130-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_100-lb-cover-coated-silk_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_100-lb-cover-coated-silk_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_100-lb-cover-uncoated_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""100-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_100-lb-cover-uncoated_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""100-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_110-lb-cover-uncoated_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""110-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_110-lb-cover-uncoated_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""110-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
